"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"beta[1]" -0.127856107435513 0.00302239096738656 0.0740331567329389 -0.2693721502564 -0.176681014220647 -0.128507539705285 -0.077747613792058 0.0156318559842294 600 1.00128674205608
"beta[2]" 0.234605828706413 0.00558439660692431 0.136789222082943 -0.0350630018988542 0.144704039002529 0.234843716710494 0.325854152976812 0.508959849098409 600 0.998760056431616
"beta[3]" 0.219900959259627 0.0101738715014405 0.204303174821958 -0.177136204329639 0.0858245422823054 0.224907081611703 0.359703584238882 0.587155324190144 403.253118724574 0.999498996794882
"beta[4]" 0.206128844405141 0.00289439807957094 0.0708979840744035 0.0788671920562437 0.155533566101709 0.201863829985241 0.25819462243593 0.344901762400316 600 1.00161394081792
"beta[5]" -0.317012956669318 0.0110385269395713 0.270387585139157 -0.82266232958919 -0.496688189024678 -0.308258469971645 -0.138648739092596 0.204414825935539 600 0.99948419975121
"beta[6]" 0.0793320950240555 0.00687804448159562 0.144907638222675 -0.17480391009756 -0.0283336056933271 0.077314741709558 0.182023521241294 0.357835274767494 443.866732319553 0.99884147113112
"beta[7]" -0.242064601614594 0.00545379949714696 0.133590259274575 -0.502610226211435 -0.334582794350442 -0.238840496107527 -0.155154479401961 0.0136848362482329 600 0.998727662827815
"beta[8]" 0.264202500841511 0.00763901941268535 0.187116996962943 -0.101670128107598 0.151063009504689 0.265979939659779 0.374972485000389 0.606221139156287 600 0.998998540217748
"threshold[1]" -4.23075571976821 0.0263451075500485 0.447060603126796 -5.09901740301619 -4.519226159121 -4.23236616500128 -3.94449312736093 -3.35259525885295 287.960452710775 1.00039994238729
"threshold[2]" -2.32579948035324 0.0183454349852654 0.361899483639441 -3.01315226081286 -2.57408788881651 -2.33548714841124 -2.10626121719648 -1.62677569615975 389.152566962779 0.998349716601663
"threshold[3]" -1.59714858936015 0.0182841525250878 0.355877509416908 -2.28274128757208 -1.83487927260198 -1.59034218768492 -1.37384801252217 -0.910738188726322 378.836149763857 0.998395981983108
"threshold[4]" 0.356935515552211 0.0177779152200586 0.350877081484378 -0.354182190233153 0.128089590963086 0.355274067926577 0.583908009246145 1.02935690071258 389.536665579223 0.998331956105818
