"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"bg_mu" 10.576601294892 1.52623635838719 103.514386148254 -198.636594748426 -58.0865630931202 10.2815757341688 80.5623100952716 220.081227506611 4600 0.999812103301874
"bg_s2" 265705202.82232 2456541.75154429 134543925.169065 109196551.101134 176804129.646202 234096718.974285 316213207.766412 624280284.712264 2999.71425909067 0.999983207900779
"wg_s2" 118754273.91666 59539.8687677074 4038190.37134566 111270530.127291 116017651.746049 118603037.235902 121473435.156571 127101170.298435 4600 1.00089362307422
"wg_mu[1]" 23486.7599758264 26.8325849908985 1819.87445708528 19833.3974850412 22272.0120271001 23502.3946264034 24730.9039834742 27056.6661363322 4600 0.999848012973133
"wg_mu[2]" 13278.5258127008 20.6529400579587 1400.75054594782 10560.0318855306 12306.5475123947 13282.0977104724 14233.4552763769 16015.3073058584 4600 0.999787579698379
"wg_mu[3]" 10325.6490964881 17.9498106788475 1217.4153915857 8005.54011793543 9491.32248120635 10325.430301913 11140.6920744572 12670.1908454841 4600 1.00019347186722
"wg_mu[4]" 13542.5840683077 12.6782868853168 859.883252769478 11892.9222988189 12947.3703146633 13541.7729156778 14118.2215185796 15246.6812314229 4600 0.999804523728603
"wg_mu[5]" 10805.8471491721 16.462319324153 1116.52881943986 8560.18567753465 10071.9532804362 10845.3425559591 11541.1447641272 12954.7999774548 4600 0.999783718923805
"wg_mu[6]" 7515.1301591847 39.5612734566412 1735.96218977873 4115.79672787029 6293.65777915475 7519.73603002685 8669.88126223409 10906.652084378 1925.48437088074 0.999861728017862
"wg_mu[7]" 12000.924270876 22.0473297115436 1495.32265350451 9083.23070811146 10982.4950638542 11980.9131513805 13025.3602351572 14907.3296845778 4600 0.999840174051231
"wg_mu[8]" 9251.40838140697 28.8682142635565 1614.43164595294 6086.83412717393 8160.07611115308 9258.92507884619 10317.8429580111 12461.2334598976 3127.51559482893 0.999794650141573
"wg_mu[9]" 16332.0872093349 25.9693434505878 1761.32656727 12809.0389254881 15153.4101726006 16315.2468951849 17528.0265506026 19830.6325525426 4600 0.999857443917096
"wg_mu[10]" 16948.715793262 12.0173603792245 815.057036180357 15359.9759456222 16407.4973453023 16941.2515985729 17485.5731979426 18557.4020507903 4600 0.999933916683876
"wg_mu[11]" 21547.3216941204 6.90076435403226 468.032609848351 20635.6755864067 21225.5429934615 21541.4904715991 21864.5088328098 22443.5048136809 4600 0.99988741901162
"wg_mu[12]" 13200.264410356 8.66845577921497 587.923275387652 12042.4837637083 12804.1233602628 13195.6050811126 13585.8960352652 14334.0644986 4600 0.999787585624315
