"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"bg_mu" -3.76850501620537 6.60019836716523 94.3854408625921 -178.923218896773 -71.1712356262267 -0.561116825165069 60.9325488533971 180.1398152481 204.501284735744 1.00430754422111
"bg_s2" 372233190.695701 7215490.22452055 154121159.47 173831630.828982 257336281.734826 342592222.393777 454423858.872775 752528391.710723 456.239465620206 1.00059739353676
"wg_s2" 132124389.250331 224406.501545715 5496814.23750086 121949036.977705 128366465.258642 132329016.238312 135850185.856299 142684189.026083 600 0.998651610214358
"wg_mu[1]" 15338.2433919057 73.2568161684222 1794.41819793503 11959.0409009913 14122.7623877564 15334.707513183 16529.8285480881 18865.6550307471 600 1.0048614420394
"wg_mu[2]" 17140.6261719295 45.4986671594833 1114.4851851746 14979.330530849 16416.6274188491 17129.30850721 17867.4322631807 19355.828935759 600 0.999001719802329
"wg_mu[3]" 12230.6925145406 46.1236493743986 1129.79406042317 9947.39099446838 11439.1426559309 12245.6518662127 12992.4705456733 14558.5530950055 600 1.00056610486467
"wg_mu[4]" 15908.741940271 62.7769195490126 1537.71420518831 12881.340059736 14878.647138367 15936.2257835376 16930.7454112675 18721.9201646794 600 0.99838046520675
"wg_mu[5]" 16271.8965783469 28.8404182165757 706.443085990794 14906.3409114653 15799.7610634768 16238.8657760957 16733.5514477991 17667.0119125428 600 0.999866302465113
"wg_mu[6]" 15524.5358515069 43.1251228137696 1056.34545988593 13527.6459430761 14819.3589410093 15534.9036202257 16210.824203179 17546.1523753138 600 0.998776012431203
"wg_mu[7]" 24871.101612765 36.9969239021771 906.235856129127 23169.807201977 24290.1138122169 24846.1139696313 25442.8902041989 26609.3089796359 600 0.998526855160655
"wg_mu[8]" 17119.0537928432 77.2205980728461 1891.51062911019 13328.1991899764 15885.239983434 17013.3788506728 18273.4238849881 21088.7768648288 600 1.00142290748193
"wg_mu[9]" 16590.7171237211 88.0855601841356 1853.83847753152 12959.2222563207 15348.9677998614 16658.3142404052 17802.9983383466 19983.5785936504 442.929231344606 1.0003182471714
"wg_mu[10]" 21443.872228096 50.492683863533 1236.81311209318 19122.877101762 20571.0856008197 21413.868681353 22328.7697677671 23828.9421615072 600 1.0005767120926
"wg_mu[11]" 16590.925158412 75.2095607929778 1842.25047721627 12936.0460385303 15387.9350397514 16610.5822931138 17817.3007272007 20203.3752884945 600 0.999808111992413
"wg_mu[12]" 21162.0495849148 59.7808352172043 1464.32542679553 18354.9536362976 20153.8762822188 21129.9404145163 22151.8434014306 24229.4720491334 600 1.00272541927375
"wg_mu[13]" 14784.317794623 38.0585985711536 932.241468247433 13032.192362093 14093.4838994439 14814.6426213422 15438.4564924803 16544.8020034321 600 1.0022282589347
