"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"bg_mu" 6.2475510553576 3.26368455571601 100.278982707081 -184.049688390925 -62.5908506276053 5.45325135744766 74.4804624496106 203.294065089849 944.068455092145 0.99982635103394
"bg_s2" 266176473.120639 2248528.95992362 133290727.621157 112939140.70832 181030401.796668 235939936.540006 313746973.23391 616648185.865564 3514.00930052345 1.00027130857478
"wg_s2" 118691128.533653 61272.8668442028 4110308.86319791 110921493.148123 115810222.707756 118606796.831169 121485438.727247 127098623.339691 4500 0.999799377207346
"wg_mu[1]" 23475.312449309 27.4378762221645 1840.58869172955 19841.4482554505 22251.3128329737 23482.8469918539 24696.0166472311 27189.633571922 4500 0.999917729529479
"wg_mu[2]" 13270.9589713919 21.421420104992 1436.99254588028 10466.6785616527 12302.3673468388 13262.209268023 14217.5862101139 16139.7947392324 4500 0.999978043838771
"wg_mu[3]" 10302.8066514297 17.4214474176239 1168.66622076735 7997.75766146142 9517.56928595174 10297.9125558928 11082.1444138512 12582.1203632617 4500 1.00000881141614
"wg_mu[4]" 13546.3944556832 13.1074746000848 879.276126574245 11824.7591930671 12952.3895409742 13550.801977 14148.0869361032 15269.9846846159 4500 0.999991379303748
"wg_mu[5]" 10789.2968723202 16.5226584886011 1108.37362648578 8578.03866049249 10038.6197112073 10781.1831785851 11538.557645099 12960.9389710304 4500 0.999793106693177
"wg_mu[6]" 7500.35127317002 40.9223975672763 1786.63644718505 4006.75816283097 6276.68785395636 7533.86302771583 8729.37271306946 10902.7647368458 1906.11999911405 1.00130023117544
"wg_mu[7]" 12002.7864719121 22.7563948527155 1526.54537440495 8948.44329882441 11004.2847045112 11985.4718999904 13013.6864773817 15045.6921532042 4500 0.999848845683456
"wg_mu[8]" 9279.51453891675 26.7941963751353 1578.14806251151 6069.69255173833 8241.29887382081 9261.45095915526 10335.0096721604 12348.0540813766 3469.07764986575 1.00033988684634
"wg_mu[9]" 16368.9855014789 26.2407754003796 1760.28472732659 12991.9907620653 15182.1530252095 16379.0180387398 17532.5839050061 19835.9948971061 4500 0.999846391574806
"wg_mu[10]" 16946.9223895987 11.8889754939849 797.53672162138 15372.9241368612 16408.689145365 16948.6430419643 17483.2435059187 18479.2425071482 4500 0.999923592801745
"wg_mu[11]" 21537.8253400015 6.95152375989332 466.322390229792 20632.3470969608 21222.2879200302 21541.1482299443 21852.6509389131 22459.1791665379 4500 0.999786448169868
"wg_mu[12]" 13185.3463291936 8.84720016942525 593.488229681475 12017.0424037716 12797.7585945866 13184.8476922669 13585.6350220489 14350.6005556841 4500 0.999787717898118
