"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"bg_mu" 4.74920802298788 1.43243321134225 98.2026733510572 -187.565823442202 -60.2001697559524 6.47981004284888 70.381428294989 195.001763700363 4700 0.999815867574883
"bg_s2" 263590515.081673 1869155.0414975 128142813.591051 114615152.315519 179193721.864144 231412444.279365 311711869.60242 592194253.29866 4700 0.99994264251298
"wg_s2[1]" 151203954.638033 539841.887370085 37009695.186379 95241053.181504 124793931.648954 145585384.939519 171770966.369674 242045557.11387 4700 1.00019252538007
"wg_s2[2]" 56131331.4298466 155812.71651226 10681981.6675826 39272022.113155 48576076.6307339 54845474.4716902 62068334.4581041 81396410.0858502 4700 1.00010867243916
"wg_s2[3]" 53922115.6822837 122500.446464962 8398207.49358699 39948983.9718103 47990722.6292952 53030329.8346695 58937200.3900225 73196879.2259948 4700 0.999849317841534
"wg_s2[4]" 66724565.3466249 106077.577979997 7272312.35477968 54118042.7411368 61578715.0314604 66184562.8084883 71138072.506679 82654974.5268989 4700 0.999869019658738
"wg_s2[5]" 280270379.752498 597995.605157436 40996513.2151718 212962033.006749 251340479.777918 276091259.623105 304736016.884515 371696727.617485 4700 0.99986147479248
"wg_s2[6]" 34151490.7229126 125814.683897447 8625420.16459534 20690362.7497658 27975930.1598168 32992279.6137301 39057141.2783138 54030425.7750236 4700 0.999800081468656
"wg_s2[7]" 121755372.835641 348359.093263253 23882296.2032175 84525926.8345795 104592559.313265 118978960.104986 135915189.216711 175563761.307996 4700 0.999809062715129
"wg_s2[8]" 66361324.0802911 206673.574160186 14168826.394726 44165778.9197896 56425481.8209888 64453868.3590918 74451852.8723961 99718019.3466405 4700 0.99990179266837
"wg_s2[9]" 53368081.0285264 171734.378167239 11773515.7972925 35070343.6821406 44979690.3419826 51809080.7582284 59462966.5319251 81028876.8415105 4700 0.999826365227603
"wg_s2[10]" 115997494.891148 177624.928017479 12177351.5490893 94661340.4910431 107504377.19136 114956541.674262 123239178.712408 142680005.400293 4700 0.999789359895686
"wg_s2[11]" 119247520.407194 102884.025379995 7053373.41904139 106234643.570311 114422997.790415 119030978.757657 123753021.908135 133993624.05018 4700 1.00009367225918
"wg_s2[12]" 142224062.944972 157627.378607544 10806388.6329996 122294812.356758 134687462.489564 141621279.61912 149287987.294128 164644047.872997 4700 0.999859155047418
"wg_mu[1]" 23420.8202740177 29.3394179161033 2011.40915409622 19282.8484863039 22146.2252043811 23455.5939681398 24726.8897017847 27366.3884408762 4700 1.00046292750957
"wg_mu[2]" 13357.8332204534 14.5594070913879 998.142662051849 11364.0976998543 12692.5489713433 13374.460246866 14007.0036411471 15359.4748344637 4700 0.999882744643476
